resource_id,mime,compressed,packed_bytes,packed_sha256,unpacked_bytes,unpacked_sha256,unpack_error
7968d4c6-41a2-4100-ba66-aed46f5a29be,font/woff2,false,21296,ae1a8ac1c2899a66eed47a851201bb78a56664bf8da6d34a9ee226582d15ac19,21296,ae1a8ac1c2899a66eed47a851201bb78a56664bf8da6d34a9ee226582d15ac19,
7aa7ddb8-1118-461c-9456-b3c8d936c7ff,font/woff2,false,9084,3edf363dbf9d5fa0cdc784ae2b431a8a4152f4055a8a8858028c0bd668808273,9084,3edf363dbf9d5fa0cdc784ae2b431a8a4152f4055a8a8858028c0bd668808273,
84c9a7b1-b6d0-48d4-aacc-62342cd9ebc4,font/ttf,true,181786,c07e246974375f933ee5ce5dad61e2138348b670a0e79ab57087c7aa5ae6dbf5,391460,1211c2ebab00958efc21707ba8de2edca142ebe3f40be89e8c3a9c26f61c3ddf,
869728cd-ef89-4cb4-846e-21252268f673,font/woff2,false,5188,889f979804fc6c2ddb3c9577805caf156bfd092a5b6e58d680535d65267b933e,5188,889f979804fc6c2ddb3c9577805caf156bfd092a5b6e58d680535d65267b933e,
89e290a7-3374-41d7-a510-2523a02cf188,font/ttf,true,235168,b90db832db7cb450733d4adcb9f3c725074a4ff33ccdb4624202279daba1ef0b,642476,800f5dca8b08b34304d233fc5f97446d479e8f56c4de58fcefa7eb431b4de36c,
95b37961-88f6-40b6-99c5-c1684c9c464c,font/woff2,false,19572,a1376a563717f1efa2f5286ab23da2b61ae8dec827a77b97adfa01cad4ec4ee2,19572,a1376a563717f1efa2f5286ab23da2b61ae8dec827a77b97adfa01cad4ec4ee2,
982ba36f-d969-4c95-a684-9b0c860c3e7c,font/woff2,false,10712,fac203539b91269bcb81a229bff802d91fcf2c06c50c605a864a9cfac45986de,10712,fac203539b91269bcb81a229bff802d91fcf2c06c50c605a864a9cfac45986de,
9bb66eaf-5fd8-44dd-8323-19313a212294,font/ttf,true,93316,7f4948678ab8126a42f9fe3e388357625d6e74820fe2f25430adade81588167b,189028,192a3158a926768d1fa520164f0fb0f40a6ad085435aa854e43eb14cb40d1aab,
9e160989-ca40-48be-9c29-0f4c7ddd1684,application/javascript,true,21022,1e38e2e89c732655c703b105381695c7c13034a4d64805e1b3ff38c137ebb3a4,75162,85f2b7215ec1b3cede6337111ad535085b874fe9457251612c70c6792399b0a9,
9fae2eca-f49d-4030-991a-617030ac291f,font/woff2,false,7468,1390e86cc2823e759358918c01c4fcc1b6e4f01bca915bdbeb6d68eb5c244405,7468,1390e86cc2823e759358918c01c4fcc1b6e4f01bca915bdbeb6d68eb5c244405,
b09d0942-ea13-4d86-817d-49aa0e6317e4,font/woff2,false,40480,1e06740a02a443fb7f3eeda8fcaa685a0f6c620e3f01e6666e847295469ce3ad,40480,1e06740a02a443fb7f3eeda8fcaa685a0f6c620e3f01e6666e847295469ce3ad,
bba3fc25-3786-4400-8a82-e0f5f016f80f,font/woff2,false,1724,bb57f3deea368fb497c2cb943916c4c299f8e773cfa1819935e8688e243bb7aa,1724,bb57f3deea368fb497c2cb943916c4c299f8e773cfa1819935e8688e243bb7aa,
bede1ee8-885e-4eb8-b21f-8ad5b49183d0,font/woff2,false,9364,2f467719b2167cc4778b5780a2fb42fadf5203b29d0fb5f1482bbab32b1b7999,9364,2f467719b2167cc4778b5780a2fb42fadf5203b29d0fb5f1482bbab32b1b7999,
c13681f6-48f5-46aa-ae75-2b98e00d8067,font/woff2,false,2020,992eea2f70210457ddd1196de4df3240919ffe068ad188c79d985fba4565d3bf,2020,992eea2f70210457ddd1196de4df3240919ffe068ad188c79d985fba4565d3bf,
c27cd014-91d7-4113-bbe4-046ce1d1e2c0,font/woff2,false,34664,1f21c6eaa0000f3329cfcfac966b43d5bebf5aa610303e33294ac31bc6f4bb59,34664,1f21c6eaa0000f3329cfcfac966b43d5bebf5aa610303e33294ac31bc6f4bb59,
c7b892e5-66c7-4d09-ad21-7edcba845dac,font/woff2,false,12004,23aab0b2692a0c89eb7997d3c7cf5bda41276d6cd4ab6cc0edc3edfcece32b09,12004,23aab0b2692a0c89eb7997d3c7cf5bda41276d6cd4ab6cc0edc3edfcece32b09,
c7dc8bc7-1785-4f4c-a0cc-a7807d724ba9,font/woff2,false,10336,7a9ba93945d3cd9e6c2ad459d242c2281b423dd305e3ccb9956279f12deddfd3,10336,7a9ba93945d3cd9e6c2ad459d242c2281b423dd305e3ccb9956279f12deddfd3,
d393b7d1-c30a-4ccd-bf8b-469664fb0fed,font/woff2,false,18400,44aa5fb37c5aa2a2b44ceab9c077b42de47d50d47c0dcbefa2555082c38df8dd,18400,44aa5fb37c5aa2a2b44ceab9c077b42de47d50d47c0dcbefa2555082c38df8dd,
dee763e7-c9ea-4094-b87a-fbb6fb846773,font/woff2,false,5188,889f979804fc6c2ddb3c9577805caf156bfd092a5b6e58d680535d65267b933e,5188,889f979804fc6c2ddb3c9577805caf156bfd092a5b6e58d680535d65267b933e,
e0d46b64-47d3-45b0-ae14-15e0c89dfc27,font/woff2,false,10684,ce21e07f81120c29845d627644a977b85027fc564b68e23349ea599402e55e96,10684,ce21e07f81120c29845d627644a977b85027fc564b68e23349ea599402e55e96,
e2c99c78-05ee-4bc0-b893-826d11a3bbc3,application/javascript,true,1041,138f6d200572d58d78175d394e42c8a9a12df802f9a75ebca0d113a105201ba7,2101,b270ed1e6f3b8e8de940efc77d753e7255c7c87e815cff3a825287c5e3b97ee8,
e48a213d-9cec-4073-b17b-50a06d820ff2,font/woff2,false,12064,af7486955880be1c2b972e9c766acffb776768d669b6576ed9a0919ce72e7ca6,12064,af7486955880be1c2b972e9c766acffb776768d669b6576ed9a0919ce72e7ca6,
e9127365-3f6b-458f-8cc0-a1c614f2acd5,font/woff2,false,15204,7db7affbce1fdee69c1ffc2641bbca289b049867f524c9d861fe35ab6670bf29,15204,7db7affbce1fdee69c1ffc2641bbca289b049867f524c9d861fe35ab6670bf29,
ea37bc06-0129-4ed1-9804-18dd3d8bb00f,font/woff2,false,1644,2f52020a90793104e4178b0ae3ccd30eea28cac27e0fea8fcf4f246151777f74,1644,2f52020a90793104e4178b0ae3ccd30eea28cac27e0fea8fcf4f246151777f74,
ee1129a4-fac2-4e12-a509-a8e4f7581f81,font/woff2,false,60048,ed3571ea9ff752f1c846f1c9ad2b0006de42f478a2db9163a74db0729a4eb281,60048,ed3571ea9ff752f1c846f1c9ad2b0006de42f478a2db9163a74db0729a4eb281,
eecd73f2-3ef9-4f18-97b2-475c3804778a,font/woff2,false,14920,5491f0305823aa575d6add08c04c75502cf0eb995ac44cc9d405643f8dd45c6a,14920,5491f0305823aa575d6add08c04c75502cf0eb995ac44cc9d405643f8dd45c6a,
f520da8b-66d1-45a7-b333-b34636a111e3,font/woff2,false,9780,3dd74f1ba6c89d3a88544de917bc7f21ab9c38045c29da60149d052eafcab8a9,9780,3dd74f1ba6c89d3a88544de917bc7f21ab9c38045c29da60149d052eafcab8a9,
fbc99a4e-ffc2-483b-8234-82506dac606b,font/woff2,false,20288,80b363f717e9762ac3a0114d5efd759ce4c2daa143296ccbf3962d2acc34e322,20288,80b363f717e9762ac3a0114d5efd759ce4c2daa143296ccbf3962d2acc34e322,
