class,occurrences,candidate_group,page_only_candidate
.td-linkcells,1,linkcells,review
.td-loading-dots,5,loading-dots,review
.td-logos,1,logos,review
.td-logos-item,6,logos-item,review
.td-logos-label,1,logos-label,review
.td-ltv,1,ltv,review
.td-ltv-cell,1,ltv-cell,review
.td-ltv-cell--accent,1,ltv-cell,review
.td-ltv-cell--brand,1,ltv-cell,review
.td-ltv-cell-l,1,ltv-cell,review
.td-ltv-cell-v,3,ltv-cell,review
.td-ltv-grid,1,ltv-grid,review
.td-ltv-head,1,ltv-head,review
.td-ltv-ratio,1,ltv-ratio,review
.td-ltv-title,1,ltv-title,review
.td-magnetic,4,magnetic,review
.td-magnetic--accent,1,magnetic-,review
.td-magnetic--brand,1,magnetic-,review
.td-magnetic-stage,3,magnetic-stage,review
.td-main,1,main,review
.td-map,1,map,review
.td-map-grid,1,map-grid,review
.td-map-pin,1,map-pin,review
.td-map-pin--accent,1,map-pin,review
.td-map-pin-dot,2,map-pin,review
.td-map-pin-label,1,map-pin,review
.td-mark,3,mark,review
.td-mark-dot,1,mark-dot,review
.td-mark-ring,2,mark-ring,review
.td-mark-ring--2,1,mark-ring,review
.td-marquee,2,marquee,review
.td-marquee-item,2,marquee-item,review
.td-marquee-mark,1,marquee-mark,review
.td-marquee-track,2,marquee-track,review
.td-masonry,3,masonry,review
.td-masonry-img,1,masonry-img,review
.td-masonry-item,1,masonry-item,review
.td-masonry-text,1,masonry-text,review
.td-masonry-title,1,masonry-title,review
.td-mega,6,mega,review
.td-mega-close,5,mega-close,review
.td-mega-content,2,mega-content,review
.td-mega-cta,10,mega-cta,review
.td-mega-feature,5,mega-feature,review
.td-mega-feature-cta,3,mega-feature,review
.td-mega-feature-stats,4,mega-feature,review
.td-mega-feature-tag,2,mega-feature,review
.td-mega-feature-visual,3,mega-feature,review
.td-mega-feature-wrap,2,mega-feature,review
.td-mega-head,7,mega-head,review
.td-mega-head-actions,2,mega-head,review
.td-mega-head-text,5,mega-head,review
.td-mega-inner,6,mega-inner,review
.td-mega-list,3,mega-list,review
.td-mega-op-copy,4,mega-op,review
.td-mega-op-icon,15,mega-op,review
.td-mega-option,23,mega-option,review
.td-mega-pane,15,mega-pane,review
.td-mega-panel,2,mega-panel,review
.td-metric,1,metric,review
.td-metric-delta,3,metric-delta,review
.td-metric-label,1,metric-label,review
.td-metric-spark,2,metric-spark,review
.td-metric-value,1,metric-value,review
.td-mic,5,mic,review
.td-mic-pulse,2,mic-pulse,review
.td-micro,1,micro,review
.td-mig,1,mig,review
.td-mig-bar,1,mig-bar,review
.td-mig-bar-fill,1,mig-bar,review
.td-mig-meta,1,mig-meta,review
.td-mig-step,7,mig-step,review
.td-mig-step-icon,4,mig-step,review
.td-mig-steps,1,mig-steps,review
.td-mini404,1,mini404,review
.td-mini404-num,1,mini404-num,review
.td-mini404-sub,1,mini404-sub,review
.td-mobile-only,1,mobile-only,review
.td-modal,1,modal,review
.td-modal-actions,1,modal-actions,review
.td-modal-desc,1,modal-desc,review
.td-modal-head,1,modal-head,review
.td-modal-title,1,modal-title,review
.td-mono,3,mono,review
.td-multistep,1,multistep,review
.td-multistep-actions,1,multistep-actions,review
.td-multistep-bar,1,multistep-bar,review
.td-multistep-meta,2,multistep-meta,review
.td-multistep-step,5,multistep-step,review
.td-multistep-step-fill,3,multistep-step,review
.td-multistep-title,1,multistep-title,review
.td-nav-burger,1,nav-burger,review
.td-nav-right,1,nav-right,review
.td-nav-wrap,5,nav-wrap,review
.td-navbar,4,navbar,review
.td-navbtn,9,navbtn,review
.td-navbtn-chevron,4,navbtn-chevron,review
.td-navlinks,1,navlinks,review
.td-navsearch,4,navsearch,review
.td-news,1,news,review
.td-news-btn,1,news-btn,review
.td-news-form,1,news-form,review
.td-news-input,2,news-input,review
.td-news-text,1,news-text,review
.td-news-title,1,news-title,review
.td-nfdot,1,nfdot,review
.td-nfdot-pulse,2,nfdot-pulse,review
.td-nowplay,1,nowplay,review
.td-nowplay-art,2,nowplay-art,review
.td-nowplay-body,1,nowplay-body,review
.td-nowplay-eq,7,nowplay-eq,review
.td-nowplay-sub,1,nowplay-sub,review
.td-nowplay-title,1,nowplay-title,review
.td-nps,1,nps,review
.td-nps-label,1,nps-label,review
.td-nps-ring,2,nps-ring,review
.td-nps-row,1,nps-row,review
.td-nps-row-bar,1,nps-row,review
.td-nps-row-fill,1,nps-row,review
.td-nps-row-fill--d,1,nps-row,review
.td-nps-row-fill--n,1,nps-row,review
.td-nps-row-fill--p,1,nps-row,review
.td-nps-row-lbl,1,nps-row,review
.td-nps-row-val,1,nps-row,review
.td-nps-rows,1,nps-rows,review
.td-nps-value,1,nps-value,review
.td-otp,1,otp,review
.td-otp-cell,3,otp-cell,review
.td-overlay-backdrop,2,overlay-backdrop,review
.td-pad-card,1,pad-card,review
.td-pad-control,1,pad-control,review
.td-pad-panel,1,pad-panel,review
.td-page-actions,1,page-actions,yes
.td-page-head,1,page-head,yes
.td-page-sub,1,page-sub,yes
.td-page-title,1,page-title,yes
.td-pagination,5,pagination,review
.td-panel,1,panel,review
.td-panel-head,1,panel-head,review
.td-panel-sub,1,panel-sub,review
.td-panel-tab,2,panel-tab,review
.td-panel-tabs,1,panel-tabs,review
.td-panel-title,1,panel-title,review
.td-pay,2,pay,review
.td-pay-btn,4,pay-btn,review
.td-pay-icon,2,pay-icon,review
.td-pdfprev,1,pdfprev,review
.td-pdfprev-action,2,pdfprev-action,review
.td-pdfprev-actions,1,pdfprev-actions,review
.td-pdfprev-body,1,pdfprev-body,review
.td-pdfprev-line,1,pdfprev-line,review
.td-pdfprev-line--w50,1,pdfprev-line,review
.td-pdfprev-line--w70,1,pdfprev-line,review
.td-pdfprev-line--w90,1,pdfprev-line,review
.td-pdfprev-meta,1,pdfprev-meta,review
.td-pdfprev-name,1,pdfprev-name,review
.td-pdfprev-thumb,1,pdfprev-thumb,review
.td-peek,3,peek,review
.td-peek-card,3,peek-card,review
.td-peek-trigger,1,peek-trigger,review
.td-perf,1,perf,review
.td-perf-cell,1,perf-cell,review
.td-perf-d,1,perf-d,review
.td-perf-d--down,1,perf-d,review
.td-perf-d--up,1,perf-d,review
.td-perf-l,1,perf-l,review
.td-perf-v,1,perf-v,review
.td-photo,1,photo,review
.td-photo-add,1,photo-add,review
.td-photos,1,photos,review
.td-pill,1,pill,review
.td-pill--live,1,pill-,review
.td-pill--pipeline,1,pill-,review
.td-pill--risk,1,pill-,review
.td-pill-dot,1,pill-dot,review
.td-pill-dot--accent,1,pill-dot,review
.td-pill-dot--brand,1,pill-dot,review
.td-pill-dot--green,1,pill-dot,review
.td-pill-dot--ink,1,pill-dot,review
.td-pipe,1,pipe,review
.td-pipe-arrow,1,pipe-arrow,review
.td-pipe-dot,4,pipe-dot,review
.td-pipe-step,8,pipe-step,review
.td-pipeline,1,pipeline,review
.td-pipeline-col,1,pipeline-col,review
.td-pipeline-col-count,1,pipeline-col,review
.td-pipeline-col-head,1,pipeline-col,review
.td-pipeline-deal,3,pipeline-deal,review
.td-pipeline-deal-amount,1,pipeline-deal,review
.td-po,2,po,review
.td-po-amt,1,po-amt,review
.td-po-id,1,po-id,review
.td-po-status,1,po-status,review
.td-po-status--draft,1,po-status,review
.td-po-status--received,1,po-status,review
.td-po-status--sent,1,po-status,review
.td-po-status--shipped,1,po-status,review
.td-po-vendor,1,po-vendor,review
.td-pomo,4,pomo,review
.td-pomo-btn,2,pomo-btn,review
.td-pomo-btn--primary,2,pomo-btn,review
.td-pomo-controls,1,pomo-controls,review
.td-pomo-fill,4,pomo-fill,review
.td-pomo-label,1,pomo-label,review
.td-pomo-ring,2,pomo-ring,review
.td-pomo-status,1,pomo-status,review
.td-pomo-track,1,pomo-track,review
.td-popover,2,popover,review
.td-popover-title,1,popover-title,review
.td-popover-wrap,2,popover-wrap,review
.td-posgrid,3,posgrid,review
.td-positem,2,positem,review
.td-positem-name,1,positem-name,review
.td-positem-price,1,positem-price,review
.td-price,2,price,review
.td-price-amt,1,price-amt,review
.td-price-badge,1,price-badge,review
.td-price-cta,1,price-cta,review
.td-price-feature,2,price-feature,review
.td-price-features,1,price-features,review
.td-price-name,1,price-name,review
.td-price-per,1,price-per,review
.td-price-tag,1,price-tag,review
.td-primary,34,primary,review
.td-primary--alt-lift,1,primary-,review
.td-primary--alt-recess,1,primary-,review
.td-primary--alt-soft,3,primary-,review
.td-primary--blue,9,primary-,review
.td-primary--demo,1,primary-,review
.td-primary--lg,1,primary-,review
.td-primary--sm,1,primary-,review
.td-primary-label,2,primary-label,review
.td-profile,2,profile,review
.td-profile-avatar,1,profile-avatar,review
.td-profile-email,1,profile-email,review
.td-profile-head,1,profile-head,review
.td-profile-item,3,profile-item,review
.td-profile-name,1,profile-name,review
.td-profile-pop,2,profile-pop,review
.td-profile-sep,1,profile-sep,review
.td-profile-trigger,2,profile-trigger,review
.td-progress,1,progress,review
.td-progress-bar,1,progress-bar,review
.td-progress-read,1,progress-read,review
.td-progress-read-bar,2,progress-read,review
.td-prose,13,prose,review
.td-prose-block,1,prose-block,review
.td-ptr,1,ptr,review
.td-ptr-dot,1,ptr-dot,review
.td-ptr-indicator,2,ptr-indicator,review
.td-ptr-item,2,ptr-item,review
.td-ptr-item-text,1,ptr-item,review
.td-ptr-item-time,1,ptr-item,review
.td-ptr-list,1,ptr-list,review
.td-pw,5,pw,review
.td-pw-bar,1,pw-bar,review
.td-pw-label,1,pw-label,review
.td-pw-label-hint,1,pw-label,review
.td-pw-seg,5,pw-seg,review
.td-quote,1,quote,review
.td-quote-name,1,quote-name,review
.td-quote-price,1,quote-price,review
.td-quote-qty,1,quote-qty,review
.td-quote-row,3,quote-row,review
.td-quote-total,1,quote-total,review
.td-quote-total-l,1,quote-total,review
.td-quote-total-v,1,quote-total,review
.td-quote-x,2,quote-x,review
.td-radial,5,radial,review
.td-radial-action,4,radial-action,review
.td-radial-action-label,2,radial-action,review
.td-radial-actions,2,radial-actions,review
.td-radial-fab,3,radial-fab,review
.td-radio,7,radio,review
.td-radio-dot,7,radio-dot,review
.td-range,7,range,review
.td-rating,1,rating,review
.td-rating--inset,1,rating-,review
.td-rating--lg,4,rating-,review
.td-rating-btn,10,rating-btn,review
.td-rating-count,2,rating-count,review
.td-rating-input,1,rating-input,review
.td-rating-star,2,rating-star,review
.td-rating-star--empty,1,rating-star,review
.td-rating-star--half,2,rating-star,review
.td-rating-stars,1,rating-stars,review
.td-rating-value,2,rating-value,review
.td-receipt,3,receipt,review
.td-receipt-foot,1,receipt-foot,review
.td-receipt-head,1,receipt-head,review
.td-receipt-row,1,receipt-row,review
.td-receipt-sep,1,receipt-sep,review
.td-receipt-sub,1,receipt-sub,review
.td-receipt-total,1,receipt-total,review
.td-reel,1,reel,review
.td-reel-art,2,reel-art,review
.td-reel-body,1,reel-body,review
.td-reel-card,3,reel-card,review
.td-reel-sub,1,reel-sub,review
.td-reel-title,1,reel-title,review
.td-refund,1,refund,review
.td-refund-amt,1,refund-amt,review
.td-refund-meta,1,refund-meta,review
.td-refund-title,1,refund-title,review
.td-renewal,1,renewal,review
.td-renewal-bar,1,renewal-bar,review
.td-renewal-bar-block,4,renewal-bar,review
.td-renewal-days,1,renewal-days,review
.td-renewal-days--ok,1,renewal-days,review
.td-renewal-days--warn,1,renewal-days,review
.td-renewal-head,1,renewal-head,review
.td-renewal-name,1,renewal-name,review
.td-reset-fig,1,reset-fig,review
.td-reset-list,1,reset-list,review
.td-ribbon,1,ribbon,review
.td-ribbon--accent,1,ribbon-,review
.td-ribbon--corner,1,ribbon-,review
.td-ribbon--green,1,ribbon-,review
.td-ribbon--ink,1,ribbon-,review
.td-richtext,1,richtext,review
.td-richtext-body,4,richtext-body,review
.td-richtext-btn,3,richtext-btn,review
.td-richtext-sep,1,richtext-sep,review
.td-richtext-toolbar,1,richtext-toolbar,review
.td-ring,2,ring,review
.td-ring-fill,1,ring-fill,review
.td-ring-track,1,ring-track,review
.td-ring-value,1,ring-value,review
.td-rlist,6,rlist,review
.td-rlist-arrow,4,rlist-arrow,review
.td-rlist-body,1,rlist-body,review
.td-rlist-cat,1,rlist-cat,review
.td-rlist-excerpt,2,rlist-excerpt,review
.td-rlist-flag,2,rlist-flag,review
.td-rlist-meta,4,rlist-meta,review
.td-rlist-meta-sep,1,rlist-meta,review
.td-rlist-row,11,rlist-row,review
.td-rlist-tile,4,rlist-tile,review
.td-rlist-title,3,rlist-title,review
.td-roadmap,2,roadmap,review
.td-roadmap-item,5,roadmap-item,review
.td-roadmap-quarter,1,roadmap-quarter,review
.td-roadmap-text,1,roadmap-text,review
.td-roadmap-title,1,roadmap-title,review
.td-root,61,root,review
.td-route,1,route,review
.td-route-body,1,route-body,review
.td-route-meta,1,route-meta,review
.td-route-name,1,route-name,review
.td-route-status,1,route-status,review
.td-route-status--done,1,route-status,review
.td-route-status--next,1,route-status,review
.td-route-status--now,1,route-status,review
.td-route-stop,2,route-stop,review
.td-route-time,1,route-time,review
.td-row,1,row,review
.td-row-tight,1,row-tight,review
.td-sb-avatar,1,sb-avatar,review
.td-sb-foot,1,sb-foot,review
.td-sb-head,1,sb-head,review
.td-sb-item,6,sb-item,review
.td-sb-item-count,2,sb-item,review
.td-sb-label,1,sb-label,review
.td-sb-logo,1,sb-logo,review
.td-sb-name,1,sb-name,review
.td-sb-role,1,sb-role,review
.td-sb-section,1,sb-section,review
.td-sb-sub,1,sb-sub,review
.td-sb-user,1,sb-user,review
.td-scroll-sm,3,scroll-sm,review
.td-scrollbtn,7,scrollbtn,review
.td-scrollbtns,5,scrollbtns,review
.td-scrollhost,7,scrollhost,review
.td-scrollshell,10,scrollshell,review
.td-search,6,search,review
.td-search-empty,1,search-empty,review
.td-search-icon,2,search-icon,review
.td-search-result,4,search-result,review
.td-search-result-meta,1,search-result,review
.td-search-results,2,search-results,review
.td-search-text,1,search-text,review
.td-search-wrap,1,search-wrap,review
.td-section,1,section,review
.td-section-block,1,section-block,review
.td-section-block--lg,1,section-block,review
.td-section-gap,3,section-gap,review
.td-segmented,5,segmented,review
.td-select,1,select,review
.td-select-chevron,1,select-chevron,review
.td-select-wrap,3,select-wrap,review
.td-service,2,service,review
.td-service-icon,1,service-icon,review
.td-service-text,1,service-text,review
.td-service-title,1,service-title,review
.td-services,3,services,review
.td-seyebrow,7,seyebrow,review
.td-seyebrow--center,2,seyebrow-,review
.td-shell,2,shell,yes
.td-shift,1,shift,review
.td-shift-head,1,shift-head,review
.td-shift-name,1,shift-name,review
.td-shift-stat,1,shift-stat,review
.td-shift-stat-l,1,shift-stat,review
.td-shift-stat-v,1,shift-stat,review
.td-shift-stats,2,shift-stats,review
.td-shift-time,1,shift-time,review
.td-sidebar,1,sidebar,yes
.td-sidemodal,2,sidemodal,review
.td-sidemodal-backdrop,2,sidemodal-backdrop,review
.td-sidemodal-close,4,sidemodal-close,review
.td-sidemodal-empty,1,sidemodal-empty,review
.td-sidemodal-group,1,sidemodal-group,review
.td-sidemodal-head,1,sidemodal-head,review
.td-sidemodal-item,7,sidemodal-item,review
.td-sidemodal-item-count,1,sidemodal-item,review
.td-sidemodal-item-name,1,sidemodal-item,review
.td-sidemodal-item-num,2,sidemodal-item,review
.td-sidemodal-list,1,sidemodal-list,review
.td-sidemodal-search,4,sidemodal-search,review
.td-sidemodal-sub,1,sidemodal-sub,review
.td-sidemodal-title,1,sidemodal-title,review
.td-sidepage,2,sidepage,review
.td-sig,1,sig,review
.td-sig-actions,1,sig-actions,review
.td-sig-btn,2,sig-btn,review
.td-sig-pad,2,sig-pad,review
.td-site-nav,1,site-nav,review
.td-site-nav-link,4,site-nav,review
.td-site-nav-logo,9,site-nav,review
.td-site-nav-search,3,site-nav,review
.td-site-nav-spacer,1,site-nav,review
.td-skel,1,skel,review
.td-skel-line,1,skel-line,review
.td-skel-line--avatar,1,skel-line,review
.td-skel-line--w50,1,skel-line,review
.td-skel-line--w70,1,skel-line,review
.td-skel-line--w90,1,skel-line,review
.td-skeleton,1,skeleton,review
.td-skeleton-circle,1,skeleton-circle,review
.td-sortable,1,sortable,review
.td-sortable-handle,2,sortable-handle,review
.td-sortable-item,4,sortable-item,review
.td-sortable-name,1,sortable-name,review
.td-sortable-num,1,sortable-num,review
.td-sortable-tag,1,sortable-tag,review
.td-spark,11,spark,review
.td-spark-delta,3,spark-delta,review
.td-spark-name,1,spark-name,review
.td-spark-row,2,spark-row,review
.td-spark-svg,1,spark-svg,review
.td-spark-val,1,spark-val,review
.td-spec-static,1,spec-static,review
.td-spinner,1,spinner,review
.td-split,2,split,review
.td-splitbtn,8,splitbtn,review
.td-splitbtn-caret,3,splitbtn-caret,review
.td-splitbtn-main,4,splitbtn-main,review
.td-splitbtn-menu,5,splitbtn-menu,review
.td-spotlight,3,spotlight,review
.td-spotlight-backdrop,6,spotlight-backdrop,review
.td-spotlight-footer,1,spotlight-footer,review
.td-spotlight-footer-kbd,2,spotlight-footer,review
.td-spotlight-group-label,1,spotlight-group,review
.td-spotlight-icon,1,spotlight-icon,review
.td-spotlight-input,2,spotlight-input,review
.td-spotlight-input-wrap,1,spotlight-input,review
.td-spotlight-kbd,1,spotlight-kbd,review
.td-spotlight-results,1,spotlight-results,review
.td-spotlight-row,4,spotlight-row,review
.td-spotlight-row-body,1,spotlight-row,review
.td-spotlight-row-icon,2,spotlight-row,review
.td-spotlight-row-kbd,1,spotlight-row,review
.td-spotlight-row-sub,1,spotlight-row,review
.td-spotlight-row-title,1,spotlight-row,review
.td-sr-only,1,sr-only,review
.td-stack,1,stack,review
.td-stack-loose,1,stack-loose,review
.td-stack-md,1,stack-md,review
.td-stack-prose,1,stack-prose,review
.td-stack-sm,1,stack-sm,review
.td-stack-tight,1,stack-tight,review
.td-star,5,star,review
.td-stars,2,stars,review
.td-stars-row,1,stars-row,review
.td-stars-value,1,stars-value,review
.td-stat,1,stat,review
.td-stat-delta,1,stat-delta,review
.td-stat-lbl,1,stat-lbl,review
.td-stat-num,2,stat-num,review
.td-statcmp,1,statcmp,review
.td-statcmp-bar,1,statcmp-bar,review
.td-statcmp-fill,1,statcmp-fill,review
.td-statcmp-fill--accent,1,statcmp-fill,review
.td-statcmp-fill--brand,1,statcmp-fill,review
.td-statcmp-lbl,1,statcmp-lbl,review
.td-statcmp-row,1,statcmp-row,review
.td-statcmp-rows,1,statcmp-rows,review
.td-statcmp-title,1,statcmp-title,review
.td-statcmp-val,1,statcmp-val,review
.td-status,3,status,review
.td-status-dot,1,status-dot,review
.td-status-dot--brand,1,status-dot,review
.td-step,5,step,review
.td-step-dot,3,step-dot,review
.td-step-line,2,step-line,review
.td-stepper,1,stepper,review
.td-stepper-inline,1,stepper-inline,review
.td-stepper-inline-item,5,stepper-inline,review
.td-stepper-inline-num,3,stepper-inline,review
.td-stepper-inline-sep,1,stepper-inline,review
.td-sticky-toolbar,1,sticky-toolbar,review
.td-subnav,1,subnav,review
.td-subnav-group,1,subnav-group,review
.td-subnav-item,6,subnav-item,review
.td-supplier,1,supplier,review
.td-supplier-avatar,1,supplier-avatar,review
.td-supplier-cat,1,supplier-cat,review
.td-supplier-info,1,supplier-info,review
.td-supplier-meta,1,supplier-meta,review
.td-supplier-name,1,supplier-name,review
.td-supplier-rating,1,supplier-rating,review
.td-supplier-status,1,supplier-status,review
.td-supplier-status--active,1,supplier-status,review
.td-supplier-status--paused,1,supplier-status,review
.td-supplier-status--pending,1,supplier-status,review
.td-swatch,1,swatch,review
.td-swatch-chip,1,swatch-chip,review
.td-swatch-hex,1,swatch-hex,review
.td-swatch-name,1,swatch-name,review
.td-swipe,1,swipe,review
.td-swipe-action,2,swipe-action,review
.td-swipe-action--archive,1,swipe-action,review
.td-swipe-action--delete,1,swipe-action,review
.td-swipe-action--snooze,1,swipe-action,review
.td-swipe-actions,1,swipe-actions,review
.td-swipe-avatar,1,swipe-avatar,review
.td-swipe-body,1,swipe-body,review
.td-swipe-dragging,1,swipe-dragging,review
.td-swipe-handle,1,swipe-handle,review
.td-swipe-row,2,swipe-row,review
.td-swipe-sub,1,swipe-sub,review
.td-swipe-time,1,swipe-time,review
.td-swipe-title,1,swipe-title,review
.td-switch,7,switch,review
.td-switch-thumb,3,switch-thumb,review
.td-switch-track,6,switch-track,review
.td-tab,4,tab,review
.td-table,8,table,review
.td-table-actions,1,table-actions,review
.td-table-sub,1,table-sub,review
.td-table-wrap,2,table-wrap,review
.td-tablist,2,tablist,review
.td-tabpanel,4,tabpanel,review
.td-tabs,1,tabs,review
.td-taginput,2,taginput,review
.td-taginput-input,2,taginput-input,review
.td-taginput-tag,1,taginput-tag,review
.td-taginput-x,2,taginput-x,review
.td-task,4,task,review
.td-task-body,2,task-body,review
.td-task-check,3,task-check,review
.td-task-due,1,task-due,review
.td-task-prio,1,task-prio,review
.td-task-prio--p1,1,task-prio,review
.td-task-prio--p2,1,task-prio,review
.td-task-prio--p3,1,task-prio,review
.td-task-title,1,task-title,review
.td-team,1,team,review
.td-team-avatar,1,team-avatar,review
.td-team-bio,1,team-bio,review
.td-team-name,1,team-name,review
.td-team-role,1,team-role,review
.td-team-social,3,team-social,review
.td-term,2,term,review
.td-term-cursor,1,term-cursor,review
.td-term-dot,1,term-dot,review
.td-term-dot--g,1,term-dot,review
.td-term-dot--r,1,term-dot,review
.td-term-dot--y,1,term-dot,review
.td-term-head,1,term-head,review
.td-term-line,1,term-line,review
.td-term-line--dim,1,term-line,review
.td-term-line--err,1,term-line,review
.td-term-line--info,1,term-line,review
.td-term-line--ok,1,term-line,review
.td-term-line--prompt,1,term-line,review
.td-term-title,1,term-title,review
.td-testi,2,testi,review
.td-testi-avatar,1,testi-avatar,review
.td-testi-meta,1,testi-meta,review
.td-testi-name,1,testi-name,review
.td-testi-quote,1,testi-quote,review
.td-testi-role,1,testi-role,review
.td-textarea,2,textarea,review
.td-textarea-wrap,4,textarea-wrap,review
.td-theme-icon,1,theme-icon,review
.td-ticker,1,ticker,review
.td-ticker-dot,1,ticker-dot,review
.td-ticker-row,1,ticker-row,review
.td-ticker-text,2,ticker-text,review
.td-ticker-time,1,ticker-time,review
.td-tilt,2,tilt,review
.td-tilt-card,3,tilt-card,review
.td-tilt-eyebrow,1,tilt-eyebrow,review
.td-tilt-meta,1,tilt-meta,review
.td-tilt-title,1,tilt-title,review
.td-timeline,1,timeline,review
.td-timeline-body,1,timeline-body,review
.td-timeline-dot,3,timeline-dot,review
.td-timeline-item,5,timeline-item,review
.td-timeline-meta,1,timeline-meta,review
.td-timeline-time,1,timeline-time,review
.td-timeline-title,1,timeline-title,review
.td-tip,1,tip,review
.td-tip-opt,2,tip-opt,review
.td-tip-opts,1,tip-opts,review
.td-tip-title,1,tip-title,review
.td-toast,5,toast,review
.td-toast--error,1,toast-,review
.td-toast--info,1,toast-,review
.td-toast--success,1,toast-,review
.td-toast-close,2,toast-close,review
.td-toast-dot,4,toast-dot,review
.td-toc,1,toc,review
.td-toc-item,4,toc-item,review
.td-toc-item--sub,1,toc-item,review
.td-toc-label,1,toc-label,review
.td-token-grid,1,token-grid,review
.td-token-swatch,1,token-swatch,review
.td-token-swatch-color,1,token-swatch,review
.td-token-swatch-meta,1,token-swatch,review
.td-token-swatch-name,1,token-swatch,review
.td-token-swatch-val,1,token-swatch,review
.td-tooltip,4,tooltip,review
.td-tooltip-wrap,4,tooltip-wrap,review
.td-topbar,2,topbar,yes
.td-topbar-avatar,1,topbar-avatar,yes
.td-topbar-icon,4,topbar-icon,yes
.td-topbar-logo,2,topbar-logo,yes
.td-topbar-logo-mark,1,topbar-logo,yes
.td-topbar-logo-text,1,topbar-logo,yes
.td-topbar-right,1,topbar-right,yes
.td-topbar-tab,13,topbar-tab,yes
.td-topbar-tabs,2,topbar-tabs,yes
.td-tree,1,tree,review
.td-tree-chevron,2,tree-chevron,review
.td-tree-children,2,tree-children,review
.td-tree-icon,3,tree-icon,review
.td-tree-meta,1,tree-meta,review
.td-tree-name,1,tree-name,review
.td-tree-row,11,tree-row,review
.td-treemap,1,treemap,review
.td-treemap-cell,3,treemap-cell,review
.td-treemap-col,1,treemap-col,review
.td-type-sample,1,type-sample,review
.td-type-sample-label,1,type-sample,review
.td-typewriter,1,typewriter,review
.td-typewriter-caret,1,typewriter-caret,review
.td-typewriter-text,1,typewriter-text,review
.td-undobar,1,undobar,review
.td-undobar-timer,1,undobar-timer,review
.td-undobar-undo,3,undobar-undo,review
.td-uptime,1,uptime,review
.td-uptime-bar,3,uptime-bar,review
.td-uptime-bars,1,uptime-bars,review
.td-uptime-name,1,uptime-name,review
.td-uptime-pct,1,uptime-pct,review
.td-uptime-row,2,uptime-row,review
.td-vid,1,vid,review
.td-vid-bar,1,vid-bar,review
.td-vid-bar-fill,1,vid-bar,review
.td-vid-bar-thumb,1,vid-bar,review
.td-vid-controls,1,vid-controls,review
.td-vid-play,2,vid-play,review
.td-vid-screen,2,vid-screen,review
.td-viewtoggle,1,viewtoggle,review
.td-viewtoggle-btn,5,viewtoggle-btn,review
.td-vtablist,1,vtablist,review
.td-waveform,1,waveform,review
.td-waveform-bar,3,waveform-bar,review
.td-webhook,1,webhook,review
.td-webhook-line,3,webhook-line,review
.td-webhook-method,1,webhook-method,review
.td-webhook-method--del,1,webhook-method,review
.td-webhook-method--get,1,webhook-method,review
.td-webhook-method--post,1,webhook-method,review
.td-webhook-method--put,1,webhook-method,review
.td-webhook-status,1,webhook-status,review
.td-webhook-status--err,1,webhook-status,review
.td-webhook-status--ok,1,webhook-status,review
.td-webhook-url,1,webhook-url,review
.td-well,2,well,review
.td-widget,7,widget,review
.td-widget-body,1,widget-body,review
.td-widget-eyebrow,1,widget-eyebrow,review
.td-widget-figure,1,widget-figure,review
.td-widget-figure-unit,1,widget-figure,review
.td-widget-foot,1,widget-foot,review
.td-widget-head,1,widget-head,review
.td-widget-sub,1,widget-sub,review
.td-widget-title,1,widget-title,review
