class,occurrences,candidate_group,page_only_candidate
.td-case-cta,1,case-cta,review
.td-case-eyebrow,1,case-eyebrow,review
.td-case-metric,1,case-metric,review
.td-case-metric-l,1,case-metric,review
.td-case-metric-v,1,case-metric,review
.td-case-metrics,2,case-metrics,review
.td-case-text,1,case-text,review
.td-case-title,1,case-title,review
.td-cb-c,1,cb-c,review
.td-cb-k,1,cb-k,review
.td-cb-n,1,cb-n,review
.td-cb-s,1,cb-s,review
.td-celebrate,1,celebrate,review
.td-celebrate-ring,5,celebrate-ring,review
.td-celebrate-text,1,celebrate-text,review
.td-celebrate-title,1,celebrate-title,review
.td-chart-bar,1,chart-bar,yes
.td-chart-bar-b,3,chart-bar,yes
.td-chart-bar-b--accent,1,chart-bar,yes
.td-chart-bar-b--brand,1,chart-bar,yes
.td-chart-bar-col,2,chart-bar,yes
.td-chart-bar-head,1,chart-bar,yes
.td-chart-bar-lbl,1,chart-bar,yes
.td-chart-bar-rows,2,chart-bar,yes
.td-chart-bar-stack,2,chart-bar,yes
.td-chart-card,1,chart-card,yes
.td-chart-card-head,1,chart-card,yes
.td-chart-card-meta,1,chart-card,yes
.td-chart-card-title,1,chart-card,yes
.td-chart-donut,1,chart-donut,yes
.td-chart-donut-center,1,chart-donut,yes
.td-chart-donut-item,1,chart-donut,yes
.td-chart-donut-item-dot,1,chart-donut,yes
.td-chart-donut-item-val,1,chart-donut,yes
.td-chart-donut-label,1,chart-donut,yes
.td-chart-donut-legend,1,chart-donut,yes
.td-chart-donut-seg,1,chart-donut,yes
.td-chart-donut-svg,2,chart-donut,yes
.td-chart-donut-track,1,chart-donut,yes
.td-chart-donut-value,1,chart-donut,yes
.td-chart-legend,2,chart-legend,yes
.td-chart-legend-dot,1,chart-legend,yes
.td-chart-legend-dot--accent,1,chart-legend,yes
.td-chart-legend-dot--brand,1,chart-legend,yes
.td-chart-legend-item,2,chart-legend,yes
.td-chart-legend-swatch,1,chart-legend,yes
.td-chart-line,1,chart-line,yes
.td-chart-line-head,1,chart-line,yes
.td-chart-plot,2,chart-plot,yes
.td-chart-svg-wrap,2,chart-svg,yes
.td-chart-yaxis,1,chart-yaxis,yes
.td-check,8,check,review
.td-check-box,7,check-box,review
.td-check-row,1,check-row,review
.td-chip,6,chip,review
.td-chip-count,1,chip-count,review
.td-chip-x,5,chip-x,review
.td-closer,2,closer,review
.td-closer--single,3,closer-,review
.td-closer-actions,4,closer-actions,review
.td-closer-body,2,closer-body,review
.td-closer-eyebrow,1,closer-eyebrow,review
.td-closer-note,1,closer-note,review
.td-closer-text,2,closer-text,review
.td-closer-title,1,closer-title,review
.td-cmd-body,1,cmd-body,review
.td-cmd-icon,4,cmd-icon,review
.td-cmd-kbd,2,cmd-kbd,review
.td-cmd-row,10,cmd-row,review
.td-cmd-sub,1,cmd-sub,review
.td-cmd-title,1,cmd-title,review
.td-cmdk,4,cmdk,review
.td-cmdk-empty,1,cmdk-empty,review
.td-cmdk-foot,1,cmdk-foot,review
.td-cmdk-group,1,cmdk-group,review
.td-cmdk-input,4,cmdk-input,review
.td-cmdk-list,2,cmdk-list,review
.td-cmdk-overlay,7,cmdk-overlay,review
.td-code-block,6,code-block,review
.td-code-pill,2,code-pill,review
.td-codeblock,7,codeblock,review
.td-codeblock-copy,2,codeblock-copy,review
.td-codeblock-head,1,codeblock-head,review
.td-codeblock-lang,1,codeblock-lang,review
.td-codeframe,2,codeframe,review
.td-codeframe-copy,5,codeframe-copy,review
.td-codeframe-head,1,codeframe-head,review
.td-codeframe-title,1,codeframe-title,review
.td-colorpop,2,colorpop,review
.td-colorpop-cell,3,colorpop-cell,review
.td-colorpop-grid,2,colorpop-grid,review
.td-colorpop-hex,1,colorpop-hex,review
.td-colorpop-pop,2,colorpop-pop,review
.td-colorpop-swatch,2,colorpop-swatch,review
.td-coloured,17,coloured,review
.td-coloured--azure,7,coloured-,review
.td-coloured--invert,12,coloured-,review
.td-coloured-label,2,coloured-label,review
.td-combobox,2,combobox,review
.td-combobox-empty,1,combobox-empty,review
.td-combobox-input,1,combobox-input,review
.td-combobox-list,2,combobox-list,review
.td-combobox-option,3,combobox-option,review
.td-combobox-option-mark,1,combobox-option,review
.td-compare-cell,2,compare-cell,review
.td-compare-row,2,compare-row,review
.td-compare-tag,1,compare-tag,review
.td-confirm,4,confirm,review
.td-consent,2,consent,review
.td-consent-actions,1,consent-actions,review
.td-consent-body,1,consent-body,review
.td-consent-close,4,consent-close,review
.td-consent-more,2,consent-more,review
.td-consent-title,1,consent-title,review
.td-container,4,container,review
.td-container--1,1,container-,review
.td-container--2,1,container-,review
.td-container--3,1,container-,review
.td-container--4,1,container-,review
.td-container--5,1,container-,review
.td-container--flush,1,container-,review
.td-container--measure,1,container-,review
.td-copy,3,copy,review
.td-copy-icon,1,copy-icon,review
.td-counter,1,counter,review
.td-counter-label,1,counter-label,review
