face,family,style,weight,display,source_kind,source_reference,source_mime,payload_bytes,payload_sha256,license_status
29,Source Sans 3,italic,200 900,swap,bundler-manifest,73f1d39f-41de-41b3-9c5c-fa6fc40d8533,font/woff2,59368,daff22b9d8482f797b1ffb84f253cad6f7d61ca35afa7a46bba0884ee9e31998,unverified
30,Source Sans 3,italic,200 900,swap,bundler-manifest,1f3a21c4-6f01-4dd5-a76b-b32265c1ab4c,font/woff2,28464,dba77455b9c188678eb9103c4b6b7fb8105968c3a4b5828204c350f6781c1638,unverified
31,Source Sans 3,normal,200 900,swap,bundler-manifest,e0d46b64-47d3-45b0-ae14-15e0c89dfc27,font/woff2,10684,ce21e07f81120c29845d627644a977b85027fc564b68e23349ea599402e55e96,unverified
32,Source Sans 3,normal,200 900,swap,bundler-manifest,d393b7d1-c30a-4ccd-bf8b-469664fb0fed,font/woff2,18400,44aa5fb37c5aa2a2b44ceab9c077b42de47d50d47c0dcbefa2555082c38df8dd,unverified
33,Source Sans 3,normal,200 900,swap,bundler-manifest,17bfdf59-1d45-47db-9fea-8cac4ae313e5,font/woff2,9796,cd19f948c227b68e6feb8af39da356315dd47f8bd1406cc8bab78baf2c6ea85e,unverified
34,Source Sans 3,normal,200 900,swap,bundler-manifest,1a081377-e30c-4111-8d51-208f80acacb5,font/woff2,14580,5045881eda8b85134f65682ac27163c2b060d1aeed619e21498f98f5448239d1,unverified
35,Source Sans 3,normal,200 900,swap,bundler-manifest,c7dc8bc7-1785-4f4c-a0cc-a7807d724ba9,font/woff2,10336,7a9ba93945d3cd9e6c2ad459d242c2281b423dd305e3ccb9956279f12deddfd3,unverified
36,Source Sans 3,normal,200 900,swap,bundler-manifest,ee1129a4-fac2-4e12-a509-a8e4f7581f81,font/woff2,60048,ed3571ea9ff752f1c846f1c9ad2b0006de42f478a2db9163a74db0729a4eb281,unverified
37,Source Sans 3,normal,200 900,swap,bundler-manifest,0f10aeca-b321-48a4-ae7d-3d2fad3b7a6a,font/woff2,28792,ac057a5593cbe3df0d2585da5dd5f33b8efa84aa30550c710fe061b37fc5c54b,unverified
38,Anton Offline,normal,400,swap,bundler-manifest,c7b892e5-66c7-4d09-ad21-7edcba845dac,font/woff2,12004,23aab0b2692a0c89eb7997d3c7cf5bda41276d6cd4ab6cc0edc3edfcece32b09,unverified
39,Anton Offline,normal,400,swap,bundler-manifest,7968d4c6-41a2-4100-ba66-aed46f5a29be,font/woff2,21296,ae1a8ac1c2899a66eed47a851201bb78a56664bf8da6d34a9ee226582d15ac19,unverified
40,Anton Offline,normal,400,swap,bundler-manifest,869728cd-ef89-4cb4-846e-21252268f673,font/woff2,5188,889f979804fc6c2ddb3c9577805caf156bfd092a5b6e58d680535d65267b933e,unverified
41,Source Sans 3 Offline,normal,200 900,swap,bundler-manifest,89e290a7-3374-41d7-a510-2523a02cf188,font/ttf,642476,800f5dca8b08b34304d233fc5f97446d479e8f56c4de58fcefa7eb431b4de36c,unverified
42,Source Sans 3 Offline,italic,200 900,swap,bundler-manifest,84c9a7b1-b6d0-48d4-aacc-62342cd9ebc4,font/ttf,391460,1211c2ebab00958efc21707ba8de2edca142ebe3f40be89e8c3a9c26f61c3ddf,unverified
43,Hanken Grotesk Offline,normal,100 900,swap,bundler-manifest,42d26d68-b5ea-44f9-8468-dd4ff2e1e696,font/ttf,129508,c4828929151ec9a455122afa06c31eb65e80ad8622f1d5510ecba8e195c57d38,unverified
44,Hanken Grotesk Offline,italic,100 900,swap,bundler-manifest,3e45d4a2-6f65-4293-a2f0-75ef74ccd6b2,font/ttf,138676,49000473ba71b9408c19b6302a3b9707b2f7e235e15c9eb3c9df2a7fcfe98a57,unverified
45,JetBrains Mono Offline,normal,100 800,swap,bundler-manifest,9bb66eaf-5fd8-44dd-8323-19313a212294,font/ttf,189028,192a3158a926768d1fa520164f0fb0f40a6ad085435aa854e43eb14cb40d1aab,unverified
46,JetBrains Mono Offline,italic,100 800,swap,bundler-manifest,5cb586fa-698b-4e23-b602-7018ca1e39a5,font/ttf,193160,2d8ac6a590c2df8f63ae44807c40cac63bc481d197c4cb91d48f1a0f587fb32e,unverified
